Label,Region
1,Acoustic_radiation_left
2,Acoustic_radiation_right
3,Anterior_Thalamic_Radiation_left
4,Anterior_Thalamic_Radiation_right
5,Arcuate_Fasciculus_left
6,Arcuate_Fasciculus_right
7,Body_of_corpus_callosum
8,Cingulum_left
9,Cingulum_right
10,Cortico-Spinal_Tract_left
11,Cortico-Spinal_Tract_right
12,External_capsule_left
13,External_capsule_right
14,Fornix_left
15,Fornix_right
16,Frontal_Aslant_Tract_right
17,Frontal_Aslant_tract_left
18,Genu_of_corpus_callosum
19,Indirect_anterior_Superior_Longitudinal_Fasciculus_(orizontal_SLF2-3)_left
20,Indirect_anterior_Superior_Longitudinal_Fasciculus_(orizontal_SLF2-3)_right
21,Indirect_posterior_Superio_Longitudinal_Fasciculus_(vertical_SLF)_right
22,Indirect_posterior_Superior_Longitudinal_Fasciculus_(vertical_SLF)_left
23,Inferior_Fronto-Occipital_Fasciculus_left
24,Inferior_Fronto-Occipital_Fasciculus_right
25,Inferior_Longitudinal_Fasciculus_left
26,Inferior_Longitudinal_Fasciculus_right
27,Middle_Longitudinal_Fasciculus_left
28,Middle_Longitudinal_Fasciculus_right
29,Optic_Radiation_left
30,Optic_Radiation_right
31,Posterior_Commissure
32,Splenium_of_corpus_callosum
33,Uncinate_Fasciculus_left
34,Uncinate_Fasciculus_right
35,Vertical_Occipital_fasciculus_left
36,Vertical_Occipital_fasciculus_right
